Datetime,Temperature,Precipitation Total,Wind Gust,Wind Speed,Cloud Cover Total,Sunshine Duration
,°C,mm,km/h,km/h,%,min
2023-04-01T00:00:00,8.740245,0.1,48.6,21.638964,90,0
2023-04-01T01:00:00,9.040245,0.2,55.44,22.493519,74,0
2023-04-01T02:00:00,8.880245,0.3,55.8,22.26477,72,0
2023-04-01T03:00:00,8.690246,0.3,55.44,21.94524,77,0
2023-04-01T04:00:00,8.630245,0.3,48.96,22.42427,78,0
2023-04-01T05:00:00,8.430245,0.5,48.6,22.91026,77,0
2023-04-01T06:00:00,8.690246,0.3,50.039997,23.1774,98,0.5287884
2023-04-01T07:00:00,8.860246,0.4,52.56,23.166216,89,6.060605
2023-04-01T08:00:00,8.640245,0.5,63,20.371038,92,4.242425
2023-04-01T09:00:00,8.730246,0.6,60.120003,23.838959,88,6.666666
2023-04-01T10:00:00,9.150246,0.6,60.120003,23.199759,98,0.6060612
2023-04-01T11:00:00,9.920245,0.4,57.6,22.545315,100,0
2023-04-01T12:00:00,10.630245,0.4,59.76,21.868332,100,0
2023-04-01T13:00:00,10.620245,0.4,60.479996,18.472595,98,0.6060612
2023-04-01T14:00:00,10.910245,0.2,57.6,17.782686,94,3.0303025
2023-04-01T15:00:00,11.330245,0.2,49.68,17.709658,92,4.242425
2023-04-01T16:00:00,11.010245,0.7,44.28,13.830749,93,3.6363637
2023-04-01T17:00:00,9.960245,0,35.28,12.599998,47,31.51515
2023-04-01T18:00:00,9.120245,0,29.519999,10.195057,45,32.727272
2023-04-01T19:00:00,8.5602455,0,24.119999,9.449572,25,0.8346802
2023-04-01T20:00:00,8.230246,0,22.68,9,47,0
2023-04-01T21:00:00,8.070246,0,23.759998,9.726664,47,0
2023-04-01T22:00:00,7.8202453,0,23.4,8.913181,29,0
2023-04-01T23:00:00,8.010245,0,22.68,9.931042,62,0
2023-04-02T00:00:00,7.9702454,0,21.24,9.220499,60,0
2023-04-02T01:00:00,7.880245,0,19.8,8.587338,61,0
2023-04-02T02:00:00,7.770245,0,19.08,8.891343,98,0
2023-04-02T03:00:00,7.710245,0.2,18.72,8.891343,95,0
2023-04-02T04:00:00,7.150245,0.3,18,8.0899935,90,0
2023-04-02T05:00:00,7.0802455,0.2,15.119999,8.049845,99,0
2023-04-02T06:00:00,7.540245,0.3,14.04,9.107359,99,0
2023-04-02T07:00:00,8.250245,0.2,24.84,11.681987,98,0.6060612
2023-04-02T08:00:00,9.010245,0.2,25.919998,9.686609,98,0.6060612
2023-04-02T09:00:00,9.710245,0.3,24.119999,9.19939,98,0.6060612
2023-04-02T10:00:00,10.050245,0.2,23.759998,9.504272,54,27.272726
2023-04-02T11:00:00,10.220245,0.2,23.4,9.659814,70,17.575756
2023-04-02T12:00:00,10.570246,0.1,23.4,8.225035,56,26.060608
2023-04-02T13:00:00,11.120245,0,21.96,7.771331,54,27.272726
2023-04-02T14:00:00,11.730246,0,20.16,7.208994,34,39.39394
2023-04-02T15:00:00,12.020246,0,17.28,8.209263,41,35.151512
2023-04-02T16:00:00,11.930245,0,15.4800005,5.692099,74,15.151516
2023-04-02T17:00:00,11.410245,0,15.4800005,5.95906,91,4.8484864
2023-04-02T18:00:00,9.200245,0.5,14.759999,4.6102495,50,29.69697
2023-04-02T19:00:00,8.930245,0,14.759999,4.829907,53,1.1771044
2023-04-02T20:00:00,8.650246,0,15.4800005,6.9899354,75,0
2023-04-02T21:00:00,8.430245,0.1,20.16,8.287822,84,0
2023-04-02T22:00:00,8.140245,0,24.84,10.086427,92,0
2023-04-02T23:00:00,7.710245,0.1,25.919998,11.367109,100,0
2023-04-03T00:00:00,7.3202453,0,26.28,12.245293,98,0
2023-04-03T01:00:00,6.6402454,0,27,11.753877,95,0
2023-04-03T02:00:00,5.9502454,0,26.64,10.30883,91,0
2023-04-03T03:00:00,5.3702455,0,27,9.565437,80,0
2023-04-03T04:00:00,4.8702455,0,26.64,9.360001,62,0
2023-04-03T05:00:00,4.4602456,0,25.199999,8.854829,68,0
2023-04-03T06:00:00,4.400245,0,22.68,9.693296,64,19.921717
2023-04-03T07:00:00,4.610245,0,28.08,12.984975,79,12.121214
2023-04-03T08:00:00,5.3102455,0,30.960001,13.551501,77,13.333332
2023-04-03T09:00:00,5.8902454,0,32.760002,14.05845,66,19.999998
2023-04-03T10:00:00,6.8702455,0,34.92,12.738099,87,7.2727275
2023-04-03T11:00:00,7.3202453,0,35.64,13.830749,91,4.8484864
2023-04-03T12:00:00,7.9902453,0,36.719997,14.336861,91,4.8484864
2023-04-03T13:00:00,8.210245,0,38.16,15.281989,90,5.454544
2023-04-03T14:00:00,8.190246,0,38.88,16.299694,91,4.8484864
2023-04-03T15:00:00,8.010245,0,39.96,16.800856,89,6.060605
2023-04-03T16:00:00,7.5102453,0,39.239998,16.299694,71,16.969696
2023-04-03T17:00:00,7.0902452,0,37.8,15.349684,81,10.909091
2023-04-03T18:00:00,6.3502455,0,33.48,14.021525,59,24.242424
2023-04-03T19:00:00,5.7002454,0,31.68,13.363711,43,2.2343435
2023-04-03T20:00:00,4.8502455,0,29.88,12.594856,15,0
2023-04-03T21:00:00,3.7502456,0,28.08,11.4862,1,0
2023-04-03T22:00:00,2.9302454,0,24.84,11.988594,0,0
2023-04-03T23:00:00,2.3802454,0,24.48,10.97262,0,0
2023-04-04T00:00:00,1.9902455,0,24.84,11.019764,0,0
2023-04-04T01:00:00,1.2802454,0,24.84,10.233123,0,0
